date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (Â°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
12/31/2021,89,85,95,100,97,84,97,81,27090,29340,2250,6510,11400,9180,206,92,840,14940,2021-12-30T23:27:33.000-05:00,2021-12-31T07:36:33.000-05:00,55.99,49,76,-0.02,0.38,12.625,65,58,95,25,40,80,368,2534,8876,6601,40980,26040,15000,2100,0,2280,1.4375,1,93,100,93,100,85,100,81,94,100
1/1/2022,70,62,25,100,96,78,70,72,20370,21900,1530,1710,9480,9180,126,93,240,10770,2022-01-01T00:53:59.000-05:00,2022-01-01T06:58:59.000-05:00,60.34,49,76,0.1,0.23,12.75,60,41,95,25,40,61,122,2229,2701,1795,49140,25860,8880,120,0,2400,1.25,1,80,56,89,87,86,96,94,94,36
1/2/2022,80,87,49,100,96,77,81,51,27630,30480,2850,3270,13500,10860,149,91,510,15420,2022-01-02T00:18:49.000-05:00,2022-01-02T08:46:49.000-05:00,55.89,49,88,-0.37,0.01,12.5,65,76,100,25,40,57,238,2327,4807,3913,32880,37020,10980,1020,60,4440,1.28125,0,89,82,91,89,93,92,78,95,94
1/3/2022,77,64,37,99,95,82,94,100,22080,24420,2340,2520,11400,8160,133,90,810,12420,2022-01-02T22:53:45.000-05:00,2022-01-03T05:40:45.000-05:00,55.24,47,70,-0.02,None,13,48,47,78,1,1,53,292,2437,6541,5280,46920,23220,12420,1080,0,2760,1.375,2,86,74,87,100,97,100,79,94,73
1/4/2022,75,81,39,100,88,73,64,64,26220,30000,3780,2610,8700,14910,144,87,150,15570,2022-01-03T23:50:19.000-05:00,2022-01-04T08:10:19.000-05:00,54.44,48,101,-0.1,None,11.625,54,77,100,1,1,49,309,2473,7003,5188,31800,30900,18180,720,0,4800,1.375,0,84,70,88,83,98,100,75,97,72
1/5/2022,77,70,49,100,97,76,75,92,23490,25500,2010,3300,10800,9390,111,92,390,12840,2022-01-04T23:39:58.000-05:00,2022-01-05T06:44:58.000-05:00,55.08,49,90,0.29,0.19,11.75,51,67,95,1,1,41,223,2383,4866,3403,36660,29700,15480,240,0,4320,1.3125,1,89,75,85,99,99,80,84,98,93
1/6/2022,69,53,12,98,88,73,91,100,19500,22320,2820,840,11400,7260,132,87,750,11790,2022-01-05T22:54:04.000-05:00,2022-01-06T05:06:04.000-05:00,53.7,45,75,None,0.22,12.75,45,44,78,1,1,38,157,2287,3454,2340,48120,25980,9180,480,0,2640,1.28125,2,77,56,78,98,98,100,68,97,48
1/7/2022,81,73,62,100,97,80,75,100,24210,26280,2070,4200,9570,10440,82,92,390,12960,2022-01-06T22:24:41.000-05:00,2022-01-07T05:42:41.000-05:00,52.41,46,76,0.05,0.2,12.625,48,54,95,1,1,36,197,2305,4633,3391,43260,26580,10200,840,0,5520,1.3125,1,81,86,78,88,94,100,69,96,59
1/8/2022,87,88,76,100,88,77,83,98,23670,26520,2850,4860,10170,8640,153,89,570,13440,2022-01-07T23:18:35.000-05:00,2022-01-08T06:40:35.000-05:00,55.84,49,80,-0.11,0.1,12.5,52,79,100,1,1,36,182,2249,3691,2703,31140,36660,10860,660,120,6960,1.25,0,90,100,82,90,93,100,77,96,100
1/9/2022,68,79,47,98,62,70,1,94,25740,34020,8280,3180,15270,7290,163,76,6060,19650,2022-01-08T21:42:01.000-05:00,2022-01-09T07:09:01.000-05:00,61.55,51,70,0.34,0.23,11.5,49,67,78,1,1,38,211,2317,4464,3466,36900,23760,10740,720,180,14100,1.3125,2,82,53,82,100,91,76,90,95,65
1/10/2022,78,77,73,100,97,74,70,63,25200,27300,2100,4890,11400,8910,135,92,240,13590,2022-01-10T00:26:27.000-05:00,2022-01-10T08:01:27.000-05:00,54.71,47,75,0.15,0.31,11.625,62,76,100,1,40,76,505,2620,7568,8097,32940,29880,12960,660,1440,8520,1.46875,0,85,78,82,92,90,92,82,94,84
1/11/2022,78,82,78,100,65,70,72,73,26490,34440,7950,5190,11460,9840,128,77,300,15630,2022-01-10T23:31:53.000-05:00,2022-01-11T09:05:53.000-05:00,58.06,50,70,-0.06,0.24,12.625,57,60,78,1,40,76,250,2376,5537,4354,35520,35100,11340,960,60,3420,1.34375,2,85,79,84,67,95,100,87,93,91
1/12/2022,86,84,88,99,95,76,78,95,26850,29940,3090,5880,13230,7740,134,90,450,14970,2022-01-11T22:58:43.000-05:00,2022-01-12T07:17:43.000-05:00,54.55,46,64,0.08,0.18,12.625,59,64,100,1,40,70,218,2340,4778,3608,37560,31560,12120,360,120,4680,1.3125,0,91,99,86,95,96,98,79,91,100
1/13/2022,88,90,85,99,79,80,86,97,28350,34140,5790,5670,14880,7800,132,83,600,17100,2022-01-12T22:19:01.000-05:00,2022-01-13T07:48:01.000-05:00,54.93,47,71,-0.03,0.13,11.75,57,57,100,1,40,64,248,2370,5760,4344,42240,26400,13980,840,0,2940,1.34375,0,92,100,90,93,95,100,84,90,100
1/14/2022,75,64,57,97,90,82,75,85,22200,25200,3000,3840,11700,6660,84,88,360,12510,2022-01-13T23:59:36.000-05:00,2022-01-14T06:59:36.000-05:00,55.71,48,63,0.14,0.16,12.25,55,49,100,1,40,56,190,2306,4324,3006,45660,24000,10500,540,0,5700,1.3125,0,87,71,85,89,96,93,89,88,100
1/15/2022,65,44,24,100,79,71,89,93,17220,20640,3420,1680,6870,8670,63,83,660,10560,2022-01-15T00:17:11.000-05:00,2022-01-15T06:01:11.000-05:00,58.12,49,70,0.47,0.34,11.625,53,52,95,1,40,42,165,2241,3742,2695,43800,27480,11100,180,0,3840,1.28125,1,69,46,76,88,95,64,89,88,31
1/16/2022,71,55,28,99,100,83,70,100,19950,21000,1050,1920,9660,8370,124,95,240,10410,2022-01-16T00:03:32.000-05:00,2022-01-16T05:53:32.000-05:00,60.07,52,50,0.19,0.4,11.875,71,57,95,25,71,95,726,2931,9663,12461,41100,22020,12900,6000,120,4260,1.65625,1,78,61,71,90,93,89,100,82,50
